cat,withoutPrice,withPrice
dishSoap,2095,589
coffee,1996,976
handSoap,1830,644
toiletPaper,1926,1809
laundry,684,316
cleaningSpray,1451,1276
juice,1076,463
rice,1533,398
toothPaste,1359,822
