x,y
-5.00,219
-10.00,20
-15.00,139
-20.00,535
-25.00,645
-30.00,415
-35.00,268
-40.00,419
-45.00,1392
-50.00,679
-55.00,493
-60.00,189
-65.00,445
-70.00,434
-80.00,1334
-90.00,1031
