cat,withoutPrice,withPrice
dishSoap,63.50%,17.90%
coffee,60.50%,29.60%
handSoap,55.50%,19.50%
toiletPaper,58.40%,54.80%
laundry,20.70%,9.60%
cleaningSpray,44%,38.70%
juice,32.60%,14%
rice,46.50%,12.10%
toothPaste,41.20%,24.90%
