"id","dishSoapNoPrice","dishSoapWithPrice","coffeeNoPrice","coffeeWithPrice","handSoapNoPrice","handSoapWithPrice","toiletPaperNoPrice","toiletPaperWithPrice","laundryNoPrice","laundryWithPrice","cleaningSprayNoPrice","cleaningSprayWithPrice","juiceNoPrice","juiceWithPrice","riceNoPrice","riceWithPrice","toothpasteNoPrice","toothpasteWithPrice","willingToPayPremium","howMuchPremium","dishSoapPriceDifference","coffeePriceDifference","handSoapPriceDifference","toiletPaperPriceDifference","laundryPriceDifference","cleaningSprayPriceDifference","juicePriceDifference","ricePriceDifference","toothpastePriceDifference"
"37dp3sydfn2m05f37d3d0qj121o26k0j",2.09,0.61,8.51,4.64,6.3,0.77,0.81,0.64,10.09,3.25,3.85,2.24,2.77,2.77,3.85,2,3.09,0.66,1,"£1-£2",1.48,3.87,5.53,0.17,6.84,1.61,0,1.85,2.43
"cyahhaufiw8o09baezfcyahha0qe7ioa",2.63,2.09,7.89,4.64,2.71,2.71,0.81,0.81,3.25,3.25,2.24,2.24,2.77,2.77,4.31,4.31,3.09,3.09,0,"£1-£2",0.54,3.25,0,0,0,0,0,0,0
"argiw648u7qqj7qz03ep9argiw64zz8s",2.09,2.09,8.51,4.64,0.77,0.77,0.81,0.81,3.25,3.25,3.1,3.1,2.77,2.77,2,2,3.09,0.66,1,"50p-£1",0,3.87,0,0,0,0,0,0,2.43
"0a2748pu7vp1v0n50a274dx9hc8ruuh5",0.61,0.61,6.96,6.96,0.77,0.77,0.81,0.64,9.31,3.25,3.1,3.1,2.77,2.77,2.54,2.54,3.09,3.09,0,"10p-50p",0,0,0,0.17,6.06,0,0,0,0
"9hjkplhm59plhvxt8et9hjkoouts1vb6",2.63,2.09,6.96,6.96,6.3,0.77,0.81,0.81,10.09,3.25,3.85,2.32,3.23,2.23,3.85,2,3.09,3.09,1,"10p-50p",0.54,0,5.53,0,6.84,1.53,1,1.85,0
"3et6npds1uuyo3bgieax3et6ne9k7xr5",2.63,2.63,6.96,6.96,6.3,0.77,0.81,0.81,10.09,3.25,3.1,3.1,2.77,2.77,3.85,2,0.66,3.09,1,"50p-£1",0,0,5.53,0,6.84,0,0,1.85,-2.43
"yu8heleicl82n7gzyu8h1favcth1zghe",2.09,2.09,7.89,7.89,0.77,0.77,0.81,0.81,9.31,3.25,2.24,2.24,2.77,2.77,2,2,3.09,3.09,1,"50p-£1",0,0,0,0,6.06,0,0,0,0
"w4nsc2vb3v3bqsqw4nsc3tid9zp5clw3",2.63,0.61,6.96,6.96,0.77,0.77,0.66,0.66,10.09,3.25,2.32,2.32,2.77,2.77,3.85,2,0.66,0.66,0,"10p-50p",2.02,0,0,0,6.84,0,0,1.85,0
"vtx0ya1oaof1qmuzvzyzuybvtx0ya1za",2.63,0.61,4.64,4.64,0.77,0.77,0.66,0.66,9.31,9.31,2.24,2.24,2.77,2.77,2,2,3.09,3.09,1,"50p-£1",2.02,0,0,0,0,0,0,0,0
"7hdx0fiw5wwhqb7hdx0z17uvylq2zctx",2.63,2.63,6.96,6.96,0.77,0.77,0.64,0.64,3.25,3.25,3.1,3.1,3.23,3.23,2.54,2.54,0.66,0.66,1,"£1-£2",0,0,0,0,0,0,0,0,0
