cat,dishSoap,coffee,handSoap,toiletPaper,laundry,cleaningSpray,juice,rice,toothpaste
withoutPrice,2095,1996,1830,1926,684,1451,1076,1533,1359
withPrice,589,976,644,1809,316,1276,463,398,822
